constructor_name,year,total_wins,total_podiums,total_points,total_races,avg_position,total_dnf,win_rate
Ferrari,1972,1,6,47.0,30,10.5,21,3.33
Ferrari,1973,0,0,14.0,19,11.0,15,0.0
Ferrari,1974,3,12,90.0,30,8.966666666666667,14,10.0
Ferrari,1975,6,11,89.5,28,7.071428571428571,9,21.43
Ferrari,1976,6,13,99.0,30,7.966666666666667,10,20.0
Ferrari,1977,4,16,114.0,34,7.5588235294117645,13,11.76
Ferrari,1978,5,9,65.0,32,9.5,16,15.62
Ferrari,1979,6,13,113.0,30,5.2,13,20.0
Ferrari,1980,0,0,8.0,28,12.25,26,0.0
Ferrari,1981,2,3,34.0,30,13.266666666666667,22,6.67
Ferrari,1982,3,11,74.0,27,10.925925925925926,16,11.11
Ferrari,1983,4,12,89.0,30,8.733333333333333,14,13.33
Ferrari,1984,1,8,57.5,32,10.375,21,3.12
Ferrari,1985,2,10,82.0,32,9.15625,20,6.25
Ferrari,1986,0,5,37.0,32,11.5625,28,0.0
Ferrari,1987,2,6,53.0,32,12.75,22,6.25
Ferrari,1988,1,8,65.0,32,10.53125,18,3.12
Ferrari,1989,3,9,59.0,30,13.6,21,10.0
Ferrari,1990,6,14,110.0,32,8.5625,13,18.75
Ferrari,1991,0,8,55.5,32,11.78125,17,0.0
Ferrari,1992,0,2,21.0,32,14.65625,29,0.0
Ferrari,1993,0,3,28.0,32,13.09375,26,0.0
Ferrari,1994,1,11,71.0,32,11.3125,21,3.12
Ferrari,1995,1,11,73.0,34,9.617647058823529,22,2.94
Ferrari,1996,3,9,70.0,32,9.875,20,9.38
Ferrari,1997,5,13,102.0,34,8.735294117647058,14,14.71
Ferrari,1998,6,19,133.0,32,5.40625,9,18.75
Ferrari,1999,6,17,128.0,32,5.34375,8,18.75
Ferrari,2000,10,21,170.0,34,5.794117647058823,9,29.41
Ferrari,2001,9,24,179.0,34,4.911764705882353,6,26.47
Ferrari,2002,15,27,221.0,34,4.147058823529412,6,44.12
Ferrari,2003,8,16,158.0,32,6.09375,10,25.0
Ferrari,2004,15,29,262.0,36,3.3055555555555554,3,41.67
Ferrari,2005,1,9,100.0,38,8.5,15,2.63
Ferrari,2006,9,19,201.0,36,5.25,7,25.0
Ferrari,2007,9,22,204.0,34,4.970588235294118,6,26.47
Ferrari,2008,8,19,172.0,36,6.527777777777778,10,22.22
Ferrari,2009,1,6,70.0,34,9.794117647058824,10,2.94
Ferrari,2010,5,15,396.0,38,6.631578947368421,5,13.16
Ferrari,2011,1,10,375.0,38,6.552631578947368,6,2.63
Ferrari,2012,3,15,400.0,40,6.825,5,7.5
Ferrari,2013,2,10,354.0,38,6.868421052631579,4,5.26
Ferrari,2014,0,2,216.0,38,8.473684210526315,9,0.0
Ferrari,2015,3,16,428.0,38,6.026315789473684,8,7.89
Ferrari,2016,0,11,398.0,42,7.404761904761905,8,0.0
Ferrari,2017,5,20,522.0,40,5.475,6,12.5
Ferrari,2018,6,24,571.0,42,4.928571428571429,5,14.29
Ferrari,2019,3,19,504.0,42,6.0,9,7.14
Ferrari,2020,0,3,131.0,34,10.705882352941176,15,0.0
Ferrari,2021,0,5,322.5,44,7.113636363636363,9,0.0
Ferrari,2022,4,20,519.0,44,6.681818181818182,9,9.09
Ferrari,2023,1,9,363.0,44,7.863636363636363,8,2.27
Ferrari,2024,5,22,595.0,48,5.145833333333333,5,10.42
Fittipaldi,1975,0,0,0.0,14,18.428571428571427,14,0.0
Fittipaldi,1976,0,0,3.0,20,17.6,19,0.0
Fittipaldi,1977,0,0,11.0,18,13.833333333333334,15,0.0
Fittipaldi,1978,0,1,17.0,16,11.5625,10,0.0
Fittipaldi,1979,0,0,1.0,17,15.882352941176471,17,0.0
Fittipaldi,1980,0,2,11.0,28,14.642857142857142,26,0.0
Fittipaldi,1981,0,0,0.0,28,21.0,28,0.0
Fittipaldi,1982,0,0,1.0,14,19.142857142857142,14,0.0
Fondmetal,1991,0,0,0.0,16,25.125,16,0.0
Fondmetal,1992,0,0,0.0,26,21.807692307692307,26,0.0
Footwork,1991,0,0,0.0,32,24.875,31,0.0
Footwork,1992,0,0,6.0,32,12.6875,32,0.0
Footwork,1993,0,0,4.0,32,14.9375,32,0.0
Footwork,1994,0,0,9.0,32,14.4375,30,0.0
Footwork,1995,0,1,5.0,34,15.882352941176471,34,0.0
Footwork,1996,0,0,1.0,32,14.5,31,0.0
Force India,2008,0,0,0.0,36,16.88888888888889,33,0.0
Force India,2009,0,1,13.0,34,13.941176470588236,18,0.0
Force India,2010,0,0,68.0,38,13.342105263157896,19,0.0
Force India,2011,0,0,69.0,38,11.31578947368421,25,0.0
Force India,2012,0,0,109.0,40,11.075,8,0.0
Force India,2013,0,0,77.0,38,12.947368421052632,18,0.0
Force India,2014,0,1,155.0,38,9.973684210526315,14,0.0
Force India,2015,0,1,136.0,38,10.526315789473685,24,0.0
Force India,2016,0,2,173.0,42,9.952380952380953,16,0.0
Force India,2017,0,0,187.0,40,8.35,19,0.0
Force India,2018,0,1,111.0,42,11.19047619047619,23,0.0
Forti,1995,0,0,0.0,34,16.470588235294116,34,0.0
Forti,1996,0,0,0.0,20,18.05,20,0.0
Frazer Nash,1952,0,0,3.0,4,13.5,4,0.0
Fry,1959,0,0,0.0,1,27.0,1,0.0
Gilby,1961,0,0,0.0,1,15.0,1,0.0
Gilby,1962,0,0,0.0,3,22.666666666666668,3,0.0
Gilby,1963,0,0,0.0,3,21.333333333333332,3,0.0
Gordini,1952,0,2,15.0,20,12.85,19,0.0
Gordini,1953,0,0,4.0,27,14.37037037037037,27,0.0
Gordini,1954,0,0,4.0,25,13.44,25,0.0
Gordini,1955,0,0,0.0,15,14.0,15,0.0
Gordini,1956,0,0,2.0,15,12.0,15,0.0
HRT,2010,0,0,0.0,38,18.94736842105263,38,0.0
HRT,2011,0,0,0.0,38,20.105263157894736,38,0.0
HRT,2012,0,0,0.0,40,20.475,39,0.0
HWM,1951,0,0,0.0,2,12.5,2,0.0
HWM,1952,0,0,2.0,25,16.16,25,0.0
HWM,1953,0,0,0.0,18,17.22222222222222,18,0.0
HWM,1954,0,0,0.0,1,17.0,1,0.0
HWM,1955,0,0,0.0,1,22.0,1,0.0
Haas F1 Team,2016,0,0,29.0,42,14.452380952380953,34,0.0
Haas F1 Team,2017,0,0,47.0,40,12.55,30,0.0
Haas F1 Team,2018,0,0,93.0,42,11.976190476190476,28,0.0
Haas F1 Team,2019,0,0,28.0,42,14.404761904761905,31,0.0
Haas F1 Team,2020,0,0,3.0,34,15.794117647058824,24,0.0
Haas F1 Team,2021,0,0,0.0,44,17.386363636363637,39,0.0
Haas F1 Team,2022,0,0,33.0,44,14.272727272727273,26,0.0
Haas F1 Team,2023,0,0,9.0,44,15.068181818181818,27,0.0
Haas F1 Team,2024,0,0,51.0,48,12.395833333333334,21,0.0
Hall,1951,0,0,0.0,1,19.0,1,0.0
Hesketh,1974,0,3,15.0,14,15.857142857142858,10,0.0
Hesketh,1975,1,4,33.0,26,11.73076923076923,18,3.85
Hesketh,1976,0,0,0.0,23,18.869565217391305,23,0.0
Hesketh,1977,0,0,0.0,28,20.071428571428573,28,0.0
Hesketh,1978,0,0,0.0,6,27.0,6,0.0
Honda,1964,0,0,0.0,3,14.666666666666666,3,0.0
Honda,1965,1,1,13.0,14,12.0,13,7.14
Honda,1966,0,0,3.0,5,9.0,5,0.0
Honda,1967,1,2,20.0,9,7.0,7,11.11
Honda,1968,0,2,14.0,15,10.466666666666667,14,0.0
Honda,2006,1,3,86.0,36,8.777777777777779,15,2.78
Honda,2007,0,0,6.0,34,13.294117647058824,28,0.0
Honda,2008,0,1,14.0,36,13.805555555555555,26,0.0
Iso Marlboro,1973,0,0,2.0,28,13.75,27,0.0
Iso Marlboro,1974,0,0,4.0,27,19.296296296296298,25,0.0
