raceId,driverId,total_stops,avg_stop_time,min_stop_time,total_pit_time
866,814,2,21.612,21.489,43.223
866,815,1,21.407,21.407,21.407
866,817,2,21.624,21.558,43.247
866,818,3,20.027,14.641,60.082
866,819,1,23.291,23.291,23.291
867,1,2,25.218,19.355,50.436
867,3,2,20.37,20.115,40.74
867,4,2,20.254,19.789,40.507
867,5,2,22.742,21.04,45.485
867,8,2,21.491,21.103,42.982
867,13,4,25.035,20.126,100.141
867,17,2,20.234,20.222,40.468
867,18,2,19.943,19.64,39.886
867,20,2,20.19,20.023,40.38
867,30,2,20.259,20.041,40.518
867,37,2,23.126,23.125,46.252
867,39,3,21.36,14.78,64.08
867,154,2,21.831,20.479,43.662
867,155,2,24.395,23.071,48.79
867,807,2,20.765,20.332,41.53
867,808,4,23.539,20.726,94.157
867,811,2,21.55,14.659,43.099
867,813,2,21.434,21.342,42.867
867,814,1,20.295,20.295,20.295
867,815,2,20.968,20.904,41.936
867,817,2,21.903,21.209,43.806
867,818,1,21.303,21.303,21.303
867,819,2,27.237,22.838,54.474
868,1,2,24.751,24.498,49.501
868,3,2,29.359,25.189,58.718
868,4,2,25.185,24.998,50.37
868,5,2,26.315,26.196,52.63
868,8,2,25.726,25.581,51.452
868,10,2,25.703,25.241,51.406
868,13,2,25.218,25.11,50.435
868,17,2,25.516,25.179,51.033
868,18,2,24.95,24.762,49.9
868,20,2,25.574,25.319,51.148
868,30,2,25.745,25.552,51.49
868,37,1,27.715,27.715,27.715
868,39,2,28.926,27.944,57.852
868,154,2,29.794,25.388,59.589
868,155,2,33.026,26.845,66.053
868,807,2,25.752,25.444,51.504
868,811,2,26.278,25.983,52.556
868,813,2,29.349,25.63,58.698
868,814,1,32.79,32.79,32.79
868,815,1,25.192,25.192,25.192
868,817,2,25.62,25.613,51.239
868,818,2,26.344,26.2,52.689
868,819,2,26.239,26.164,52.477
869,1,3,19.162,17.598,57.487
869,3,3,18.343,17.894,55.03
869,4,2,17.756,17.57,35.512
869,5,4,21.602,18.801,86.407
869,8,2,17.868,17.735,35.737
869,10,2,20.176,18.952,40.351
869,13,3,20.622,19.137,61.866
869,17,2,17.772,17.29,35.543
869,18,2,17.349,16.831,34.698
869,20,2,17.686,17.512,35.371
869,30,3,18.196,17.928,54.588
869,37,2,20.257,19.85,40.514
869,39,2,19.458,19.382,38.917
869,154,3,25.299,20.388,75.897
869,155,2,19.04,18.904,38.081
869,807,3,18.364,18.286,55.093
